year	sentence	category	position
1996	As she turned her grimy, tear-streaked face toward the window, quiet sobs still shook the child's frail body, and her voice had the tone of one whose life has been a continuing chronicle of deprivation and disappointed hopes as she said plaintively, "How come we can't stop at the Seven-Eleven and get a slushy? I want a cherry slushy…"	Miscellaneous Dishonorable Mentions	
1996	When the sound of Big Ben chiming the hour of the rosy-fingered dawn struck my straining ears like a fire alarm, I threw the glockenspiel at the haberdasher and ran for the door, never looking back to see if the foul devil's spawn was giving chase through the impenetrably thick—and terribly clammy—fog that clung to me like a sodden woolen suit, slowing my flight to a crawl as interminable as this sentence.	Miscellaneous Dishonorable Mentions	
1996	The disillusionment of the members of the inner-city Boys' Club with their trip to the country began when they discovered that a hoe-down wasn't what they thought it would be.	Miscellaneous Dishonorable Mentions	
1996	Following the unfortunate bucking of his horse when it was startled by the posse's shots, Tex—who now lay in a disheveled heap in the sagebrush—pushed back his sweat-stained Stetson from one deep-set blue eye, spat a stream of tobacco juice at the nearest cactus, and reflected momentarily that the men approaching him with ropes probably weren't just out for a skip, and—if they were—his freshly broken ankle would have to cause him to decline any entreaties to join them.	Western	Winner
1996	Baron Frankenstein looked up from his sewing, smiled benignly across the laboratory at his similarly-engaged creation and protege, and called, "Yes, yes! Put on a happy face; tonight will be your first date with the rest of your wife!"	Vile Puns	Runner Up
1996	Because the Indians of the high Andes were believed to have little sense of humor, Professor Juan Lyner was amazed to hear this knee-slapper that apparently had been around for centuries at all the Inca hot spots: "Llama ask you this. Guanaco on a picnic? Alpaca lunch."	Vile Puns	Winner
1996	Tess was a fallen angel with a heart as big and as golden as all outdoors; a heart as big as all outdoors and all indoors; a heart as big as a solarium, which is a room that is like outdoors but indoors; unlike one of those bump-out kitchen greenhouse windows, which is neither.	Purple Prose	Runner Up
1996	It was a hot as a jalapeno outside, the smog hung in the air like bits of pepper on three-day-old cottage cheese, and the Condiment Police, after extricating themselves from one pickle after another, were running late in their effort to ketchup with a bad egg named Sal Sodium who was armed to the teeth and who was stalking a gorgeous tomato for the twenty-four carrots on her finger, so they slipped into their flack jackets with relish before moving in on a salt with a deadly weapon.	Crime & Detective	Winner
1996	From the dilapidated porch, Hoover "Hoo-Boy" Hogwattle squinted at the ducks scattered across the oily surface of the pond like the blackheads across Cousin Joe-Bob's nose, and, spitting tobacco juice and scratching incessantly, wished that Maw had remembered to use that new downy-fresh fabric softener on the pink lace bra and panties he was wearing under his grimy overalls.	Rural Realism	Winner
1996	Nigel lifted his Mont Blanc pen and held it in brief repose as he gazed past the conflagrative crackling in the hearth, through the triple-plate bay window, watching the incandescence of the twinkling stars like the detonation of a million flashbulbs, and the preponderance of frothy snowflakes blanketing the earth as creamily as marshmallow fluff, then, refreshed and inspired, he began to compose his annual Christmas form letter.	Purple Prose	Winner
1996	The flash of lightning startled her, making her breasts heave, and in that instant of white light she thought of how M____, her young lover from the estate's cheese works, had so marveled at the creamy globes so delicately laced with blue veins that he had called the one Bleu and the other Stilton, and she reflected that she would never hear those sweet words again—at least not in that context, for come tomorrow she would be Lady Vile-Conundrum.	Romance	Winner
1996	Buffy Goldsmith, emptying the last three rounds from the smoking Parabellum nine-millimeter at the pursuing KGB operatives, reached into her Kevlar standard-issue Model PK-38D brassiere for the disk of winning lottery numbers with the intention of flinging it into the murky waters of the Seine, only to remember she had left it under Uncle Arthur's yarmulke at the kibbutz.	Adventure	Winner
1996	Ulysses Simpson Grant, having just finished a meal of Virginia ham, stretched out in his underwear of Mississippi-grown cotton, puffed on a Georgia cigar, swilled straight Kentucky bourbon whiskey, and thought how good it was to be in the Union Army.	Historical Fiction	Winner
1996	"Ace, watch your head!" hissed Wanda urgently, yet somehow provocatively, through red, full, sensuous lips, but he couldn't you know, since nobody can actually watch more than part of his nose or a little cheek or lips if he really tries, but he appreciated her warning.	Grand Prize	
1996	The city at night has a million stories, like the woman who, even now, was weeping over the bloody corpse of her lover lying where she had slashed him from neck to kneecap, or the twelve-year-old kid prostrate on the sidewalk after a drug deal gone wrong, or the babe, desperate to find the stuff that stopped your dress from sticking to your legs after you ironed it and couldn't find a convenience store at this black hour in a city without a name.	Urban Realism	Winner
1997	The bizarre heat in the bazaar, aided further by the constantly sweating, swearing, and swirling middle class population, or should we say the servile class, prompted the sudden swooning of the 'foreign returned' Radha, who was immediately scooped up in the arms of the ever-willing Sudama, jumping at this God-sent opportunity, while the surrounding loudspeakers blared the contemporary superhit film song, "Aa jaa, meri bahon mein aa jaa!"	Miscellaneous Dishonorable Mentions	
1997	Not long ago I came into possession of a certain Malaysian lizard and by sheer good luck it accidentally walked through some wet paint and then across a sheet of paper and made such a mess that an art expert said it was "Neo-reptilian," so now I plan to move to Spain where it will be a cinch to con the artsy types with this fly-eating Van Gogh who is being called (I'm not making this up) "El Gecko."	Vile Puns	Dishonorable Mentions
1997	"Holy mackerel, we cod advertise Eddie Fisher to reel in suckers, then if we're accused of bait-and-switch tactics and face a herring our squid pro quo lawyer could clam the embarracudasing incident was a fluke, nothing to carp about—though we'd be eel-advised to take a wade-and-sea attitude or angle for a mistrout," bubbled Salmon Rushdie, sardine 'cause he shad have knocked off the crappy puns a minnow earlier, giving scallop's honor he didn't do it on porpoise and to enshark us it won't harpoon again.	Vile Puns	Runner Up
1997	As the monstrous thug's forearm was about to crash down on his noggin for yet another time, Brinzinger realized that his worst fear had come true: this was indeed an encounter with a member of that mercilessly mayhem-minded Swiss motorcycle gang, based in the capital of Switzerland and also in a city in southwestern France, whose dread signature tattoo, which Brinzinger was able to make out just before he lost consciousness, read "Bern-Toulouse."	Vile Puns	Winner
1997	The waning moon looked like a giant yogurt-covered raisin that someone had sucked on for two or maybe three minutes.	Purple Prose	Dishonorable Mentions
